09?PLYM,Plymouth,-73.0264954,41.6664864,,,,,,2205,2568,3244,4149,2350,2147,2828,5021,5942,6070,6043,,,,,,,,
09?PUT1,Putnam,-71.9089613,41.9150978,,,,,,,,,,,,6667,6637,7711,7318,12282,,,,,,,,
09?STA3,Stafford Springs borough,-72.3023023,41.9542632,,,,,,,,,,,,,,,,3401,,,,,,,,
09?WIN2,Windsor,-72.6662029,41.8750981,,,,,,,3294,2278,2783,3058,2954,3614,4178,5620,,,,,,,,,,
901150,Ansonia,-73.074467,41.34269,,,,,,,,,,,14237,20611,24143,38356,40799,40468,40468,41659,,,,,,
908000,Bridgeport,-73.195915,41.188596,,,,,2800,3294,7560,13299,18969,27643,48866,74653,113900,177570,195806,207275,212569,258137,334576,389153,395455,443722,882567,916829
908420,Bristol,-72.933656,41.682249,,,,,,,,,,,,6268,9527,20620,28451,30167,30167,35961,45499,55487,63030,,,
918430,Danbury city,-73.460698,41.403444,,,,,,,,,6542,8176,16552,16537,20234,18943,22261,22339,22339,22067,22928,78405,126985,162584,,
919480,Derby,-73.084331,41.323005,,,,,,2851,8824,5443,8020,11650,,,,,,,,,,,,,,
922700,East Hartford town,-72.615477,41.761457,,,,,,,,,,,,6406,,,,,,,,,,,,
937000,Hartford,-72.688587,41.76255,2683,3523,3955,4726,7074,9468,17966,29152,37180,42015,53230,79850,107053,162382,246732,264470,295613,358081,525207,663891,721230,1064877,1148618,1212381
946450,Meriden city,-72.799649,41.532965,,,,,,,,,,15540,21652,24296,27265,29867,38481,39494,39494,44088,51850,55959,57118,,,
947290,Middletown city,-72.663206,41.553672,,,,2618,3123,3511,4211,5182,6923,6826,9013,9589,11851,13638,24554,26495,26495,29711,33250,36924,39040,,,
947515,Milford,-73.05955,41.218697,,,,,,2455,2465,2828,3405,3347,3811,3783,4366,,,,,,,,,,,
949880,Naugatuck,-73.051731,41.493763,,,,,,,,,,4274,6218,10541,,,,,,,,,,,,
950370,New Britain,-72.784303,41.674266,,,,,,,3029,5212,9480,11800,16519,25998,47644,68699,78128,79003,90499,104251,129397,145269,142241,,,
952000,New Haven,-72.92315,41.311147,4487,4049,5772,7147,10180,12960,20345,39267,50840,62882,81298,113274,142148,171148,207483,213999,240750,264622,311681,355538,417572,529897,824008,862477
952280,New London,-72.103389,41.352498,,5150,3238,3330,4335,5519,8991,10115,9576,10537,13757,17548,19659,25688,29640,35175,30456,30551,156913,208412,248554,271904,259088,274055
952560,New Milford,-73.408851,41.582494,,,,,,3974,4508,3535,3586,3907,3917,4804,5010,4781,4700,5559,,,,,,,,
955990,Norwalk,-73.4078968,41.1175966,,,,,,,,,,5308,10876,12716,20181,32857,42092,48107,48107,61127,96756,120099,126692,127378,,
956200,Norwich city,-72.082088,41.539748,,,2976,2983,3135,4200,6139,14048,16653,15112,16156,17251,20367,22304,23021,23652,23652,23429,,,,,,
965230,Rockville,-72.455642,41.867097,,,,,,,,,,5962,7772,7287,7977,7726,7445,7572,7572,8016,,,,,,
973000,Stamford city,-73.541316,41.074448,,,,,,,,,,,9269,15997,25138,41035,57783,54159,112167,134896,178409,206419,198854,202557,,
974260,Stratford,-73.134226,41.201596,,,,,,,,,,4251,2608,,,,,,,,,,,,,
