ID,Name,Lat,Long,Alt,1960,1970,1980,1991,2000,2010
3530805,Moji Mirim,-22.4326955,-46.95636713,633.56337,27406,36301,50634,64753,81467,86244
3113404,Caratinga,-19.78963492,-42.14370705,587.871986,106482,109772,110035,125686,77789,85322
3508504,Ca_apava,-23.10066375,-45.70773037,562.242759,23841,30712,51347,66058,76130,84844
3557105,Votuporanga,-20.41947,-49.97467202,518.334591,32566,39443,52281,66166,75641,84728
3147006,Paracatu,-17.21974191,-46.87541889,703.852112,25348,36821,49010,62774,75216,84687
3162500,Sao Joao del Rei,-21.13550897,-44.26097273,908.329785,57992,55230,64693,72747,78616,84404
4303004,Cachoeira do Sul,-30.04581998,-52.89341256,74.065799,84512,94261,93338,89148,87873,83827
3549102,Sao Joao da Boa Vista,-21.972011,-46.79635078,766.788973,38999,44471,55935,69148,77387,83661
2101400,Balsas,-7.53116999,-46.03899267,255.910533,16845,19385,23700,41648,60163,83537
3504503,Avare,-23.1031935,-48.92326319,769.664358,36192,37854,46918,61101,76472,82935
2101608,Barra do Corda,-5.5083395,-45.23901102,152.522676,45490,57839,76672,90820,78147,82692
3527207,Lorena,-22.73169303,-45.12424814,530,32764,46463,57373,73146,77990,82553
3148103,Patrocinio,-18.94081296,-46.99743824,950.581414,31557,35578,44373,60753,73130,82541
4317103,Sant'Ana do Livramento (Livramento),-30.88938401,-55.53481427,200.677824,55974,63388,68111,80252,90849,82513
3200607,Aracruz,-19.82327774,-40.27622338,68.063025,25193,26507,35797,52433,64637,81746
4118402,Paranavai,-23.08187948,-52.46240167,467.54666,63189,57387,65290,71052,75750,81595
2311306,Quixada,-4.9637,-39.01174468,190.499305,81242,98509,99284,72224,69654,80605
3139409,Manhua_u,-20.25868008,-42.03384829,636.81319,45674,48230,57727,75259,67123,79635
2917508,Jacobina,-11.18506216,-40.51301763,462.045193,74678,76519,103971,75518,76492,79285
2613909,Serra Talhada,-7.98799752,-38.29631495,436.862022,41761,55774,67166,72341,70912,79241
4108403,Francisco Beltrao,-26.07845,-53.05613572,554.012589,55496,36807,48762,61272,67132,78957
4310207,Ijui,-28.38853654,-53.91806684,311.71309,63350,52738,70932,75157,78461,78920
2806701,Sao Cristovao,-11.01367686,-37.20949878,6.278567,20032,20409,24134,47558,64647,78876
3550605,Sao Roque,-23.530359,-47.13542301,778.640783,28778,37049,49539,63900,66637,78873
3555406,Ubatuba,-23.43596498,-45.07209148,5.020122,10182,15203,27161,47398,66861,78870
2911709,Guanambi,-14.22531503,-42.77856197,522.031674,28508,31174,45520,65592,71728,78801
1200203,Cruzeiro do Sul,-7.630690005,-72.67253132,183.079525,32066,43584,50477,50748,67441,78444
2108603,Pinheiro,-2.5227405,-45.0839266,7.781617,49013,53831,68640,82432,68030,78147
5006606,Ponta Pora,-22.48618708,-55.71085018,628.770714,30262,33798,38070,55541,60916,77866
4300406,Alegrete,-29.78204321,-55.79587015,94.731203,54627,56553,69472,78918,84338,77673
3306008,Tres Rios,-22.117448,-43.21160944,274.132212,44565,55871,71172,81248,71976,77503
2601102,Araripina,-7.5781415,-40.50246058,639.781117,34750,38919,47908,60585,70898,77363
2930501,Serrinha,-6.277091526,-35.50134323,98.060615,56538,47172,57477,76013,83206,77285
3513405,Cruzeiro,-22.57774988,-44.96173196,521.921211,31081,45652,57999,68643,73492,77070
3529302,Matao,-21.60299451,-48.3677477,578.254692,22135,21953,38125,63613,71753,76799
1709500,Gurupi,-11.72977232,-49.07147747,300.351357,11915,24660,38658,56752,65034,76765
2606408,Gravata,-8.2059995,-35.57149239,466.64996,52894,49366,52501,61485,67273,76669
4317509,Santo angelo,-28.30193787,-54.2641428,285.746044,76255,80754,93674,76592,76745,76304
1301209,Coari,-4.084219159,-63.14218398,37.939947,23093,27636,42612,38678,67096,75909
2606200,Goiana,-7.559231855,-34.9983763,17.995881,59122,51588,57809,64150,71177,75648
3506102,Bebedouro,-20.94981552,-48.47736217,564.735362,31496,37816,46029,67763,74815,75044
2604007,Carpina,-7.846886716,-35.25806061,187.648942,41340,45790,57346,66078,63811,74851
2302800,Caninde,-4.35534429,-39.31034295,148.511701,36967,50652,58180,61827,69601,74486
2930105,Senhor do Bonfim (Bonfim),-10.45677149,-40.18998454,536.106411,34306,46665,63826,83421,67723,74431
3305505,Saquarema,-22.93112742,-42.49669405,5.727573,19865,24378,28194,37888,52461,74221
3120904,Curvelo,-18.75548072,-44.42839897,646.408206,51826,45423,50770,59015,67512,74184
3550704,Sao Sebastiao,-9.931657389,-36.5510919,220.435182,7421,12023,19007,33890,58038,73833
