ID,Name,Lat,Long,1954,1962,1968,1975,1982,1990,1999
71014,Autun,46.9712872,4.2627535,26560,26788,29671,30109,29775,28480,26845
71076,Chalon-sur-Saône,46.7799772,4.8549988,86675,95953,105548,119011,124426,128878,130825
71153,Creusot,46.8063438,4.415145,41020,46014,45782,48617,49243,46188,42846
71263,Louhans,46.6595422,5.2688673,15506,15555,15459,15483,15147,14675,14595
71270,Mâcon,46.3035655,4.8319253,60358,66647,73332,80406,84645,87682,88534
71306,Montceau-les-Mines,46.6022979,4.3302306,53195,56450,54856,55320,55320,51354,47172
72132,Ferté-Bernard,48.185296,0.6560399,11926,12098,13219,15110,16113,16601,16925
72154,Flèche,47.675874,-0.045758,15081,14828,15978,16566,16929,17294,17657
72181,Mans,47.9463471,0.1964737,189034,215229,236305,266066,276684,283849,293159
72264,Sablé-sur-Sarthe,47.840112,-0.331634,20367,19952,20965,22156,24398,26005,28261
73008,Aix-les-Bains,45.6386913,5.8811343,21281,24051,27428,29859,32714,36760,40278
73011,Albertville,45.6273622,6.3295127,20114,24480,27055,29697,31528,34150,35431
73054,Bourg-Saint-Maurice,45.6187211,6.7692993,6687,5134,5375,6146,7405,7976,9083
73065,Chambéry,45.6386913,5.8811343,65868,76053,88367,101817,110117,119529,131280
73248,Saint-Jean-de-Maurienne,45.2786511,6.3419867,10678,11449,12787,13550,13594,13589,13295
74010,Annecy,45.8615248,6.1673232,73567,89992,109711,134331,148630,169459,189674
74012,Genève(CH)-Annemasse,46.1930524,6.2670375,80793,89617,104754,138862,157167,189348,212248
74056,Chamonix-Mont-Blanc,45.923349,6.868172,7345,8840,9414,10301,10947,12267,13354
74081,Cluses,46.0585862,6.5789808,21877,28285,35992,43280,47824,54361,61109
74225,Rumilly,45.867616,5.942179,7675,8143,8714,9621,11529,13183,15020
74256,Sallanches,45.95,6.6388889,26181,27026,29425,31524,33785,37673,40949
74281,Thonon-les-Bains,46.373565,6.477635,34233,38497,44172,50891,54784,64860,70154
75056,Paris,48.856614,2.3522219,7425157,8575771,9355211,10000462,10231368,10859659,11174743
76114,Bolbec,49.5708752,0.4717129,14158,14752,15310,15552,15962,16376,16450
76217,Dieppe,49.933333,1.083333,66475,71923,75236,77454,78317,81490,81419
76231,Elbeuf,49.3009415,0.9925944,52616,58706,65991,73578,80215,84367,86162
76255,Eu,49.921086,1.5610904,27132,29229,31132,33261,32973,32907,32604
76259,Fécamp,49.760545,0.373266,27086,27746,29257,30124,30559,30627,31013
76312,Gournay-en-Bray,49.480722,1.722584,8627,9145,9608,10151,10237,10466,10789
76351,Havre,49.4964338,0.1308582,229001,256422,277682,296483,293991,298739,296773
76384,Lillebonne,49.5179789,0.5402613,7063,8440,10324,11321,10832,10846,11304
76476,Notre-Dame-de-Gravenchon,49.489108,0.567624,3963,5784,6608,8759,9539,9586,9320
76540,Rouen,49.4383813,1.1069538,358090,406324,452441,481456,489318,504984,518316
76758,Yvetot,49.617779,0.755212,8985,10023,11459,12895,13972,14633,15011
77305,Montereau-Fault-Yonne,48.384734,2.956193,14172,19272,25670,28190,27385,26990,26455
77333,Nemours,48.266769,2.693667,7970,9807,11579,15084,16617,17649,18951
77379,Provins,48.5610677,3.2811559,16753,17375,18767,19717,20259,20929,21687
79049,Bressuire,46.8451503,-0.5433519,12683,12853,13814,16101,17366,17827,17799
79191,Niort,46.312222,-0.394444,86999,94267,101268,110601,117013,122519,125594
79202,Parthenay,46.648825,-0.251441,11900,13307,15772,19000,19555,19145,18776
79329,Thouars,46.9638165,-0.1551465,20466,20881,21327,22660,23280,23643,23634
